0,1,2,3,4,5,6,7,8,9
0.0,0.0,-1356_0,-101.4,Bus,6.1,555.85,1588.94,0.0,BusFlowEastWest0.0
0.0,0.0,28925528_0,-44.63,Bus,6.1,722.81,1270.66,0.0,BusFlowNorthSouth0.0
0.0,0.0,239331354_0,160.22,Bus,6.1,471.48,1183.77,0.0,BusFlowSouthNorth0.0
0.0,0.0,-240120122_0,67.65,Bus,6.1,711.28,874.23,0.0,BusFlowWestEast0.0
0.0,0.0,-1274_0,16.81,Vehicle,4.1,517.45,1849.76,0.0,VehicleFlowEastToNorth.0
0.0,0.0,-1354_0,-93.35,Vehicle,4.1,420.7,1853.89,0.0,VehicleFlowEastToWest_0.0
0.0,0.0,-1280#0_0,-45.05,Vehicle,4.1,759.18,2349.98,0.0,VehicleFlowEastToWest_1.0
0.0,0.0,-1328#0_0,18.54,Vehicle,4.1,1044.08,599.52,0.0,VehicleFlowWestToEast.0
0.0,0.0,229259796#0_0,71.4,Vehicle,4.1,681.4,984.27,0.0,VehicleFlowWestToEast_0.0
0.0,0.0,-1324_0,58.74,Vehicle,4.1,778.93,734.83,0.0,VehicleFlowWestToSouth.0
1.0,0.0,-1356_0,-101.4,Bus,8.14,556.25,1586.94,2.04,BusFlowEastWest0.0
1.0,0.0,28925528_0,-44.63,Bus,7.65,721.7,1269.56,1.55,BusFlowNorthSouth0.0
1.0,0.0,239331354_0,160.22,Bus,7.9,473.17,1184.38,1.8,BusFlowSouthNorth0.0
1.0,0.0,-240120122_0,67.65,Bus,7.86,710.61,875.86,1.76,BusFlowWestEast0.0
1.0,0.0,-1274_0,16.81,Vehicle,7.25,514.43,1850.67,3.15,VehicleFlowEastToNorth.0
1.0,0.0,-1354_0,-93.35,Vehicle,6.82,420.86,1851.18,2.72,VehicleFlowEastToWest_0.0
1.0,0.0,-1280#0_0,-45.05,Vehicle,6.36,757.58,2348.38,2.26,VehicleFlowEastToWest_1.0
1.0,0.0,-1328#0_0,18.54,Vehicle,6.64,1041.67,600.32,2.54,VehicleFlowWestToEast.0
1.0,0.0,229259796#0_0,71.4,Vehicle,7.62,680.28,987.6,3.52,VehicleFlowWestToEast_0.0
1.0,0.0,-1324_0,58.74,Vehicle,7.62,777.1,737.84,3.52,VehicleFlowWestToSouth.0
2.0,0.0,-1356_0,-101.4,Bus,12.52,557.12,1582.64,4.39,BusFlowEastWest0.0
2.0,0.0,28925528_0,-44.63,Bus,12.0,718.6,1266.5,4.34,BusFlowNorthSouth0.0
2.0,0.0,239331354_0,160.22,Bus,11.56,476.61,1185.61,3.66,BusFlowSouthNorth0.0
